CAES_nuevo;CAES_viejo_4d;CAES_viejo_2d;CAES_viejo_letra;Observaciones
101;101;1;A;
102;102;1;A;
103;103;1;A;
104;104;1;A;
200;200;2;A;
300;500;5;B;
500;1000;10;C;
600;1100;11;C;
700;1300;13;C;
800;1400;14;C;
900;1100;11;C;
1000;1000_nuevo;NA;D;
1001;1501;15;D;
1002;1502;15;D;
1003;1503;15;D;
1009;1504;15;D;
1100;1505;15;D;
1200;1600;16;D;
1300;1700;17;D;
1400;1800;18;D;
1500;1500_nuevo;NA;D;
1501;1901;19;D;
1502;1902;19;D;
1600;2000;20;D;
1700;2100;21;D;
1800;2200;22;D;
1900;1900_nuevo;NA;D;
1901;2301;23;D;
1902;2302;23;D;
2000;2000_nuevo;NA;D;
2001;2401;24;D;
2002;2403;24;D;
2009;2009_nuevo;NA;D;
2100;2402;24;D;
2201;2501;25;D;
2202;2502;25;D;
2301;2601;26;D;
2309;2609;26;D;
2400;2700;27;D;
2500;NA;NA;D;
2600;2600_nuevo;NA;D;
2601;3200;32;D;
2602;3000;30;D;
2603;3200;32;D;
2604;3300;33;D;
2700;2700_nuevo;NA;D;
2701;2900;29;D;
2707;2707_nuevo;NA;D;
2709;3100;31;D;
2800;2900;29;D;
2900;3400;34;D;
3001;3501;35;D;
3002;3502;35;D;
3003;3503;35;D;
3009;3509;35;D;
3100;3601;36;D;
3200;3609;36;D;
3300;2900;29;D;
3302;3302_nuevo;NA;D;
3500;3500_nuevo;NA;E;
3501;4001;40;E;
3502;4002;40;E;
3600;4100;41;E;
3602;3602_nuevo;41;E;
3604;3604_nuevo;41;E;
3700;9000;90;O;
3800;9000;90;O;También correspond a 3700 (mayoritariamente a 9000)
3900;9000;90;O;
4000;4500;45;F;
4500;4500_nuevo;50;G;
4501;5001;50;G;
4502;5002;50;G;
4503;5003;50;G;
4504;5004;50;G;
4509;4509_nuevo;50;G;
4510;4510_nuevo;50;G;
4800;4800_nuevo;50;G;
4801;5301;53;G;
4802;5302;53;G;
4803;5303;53;G;
4804;5304;53;G;
4805;5305;53;G;
4806;5005;50;G;
4807;5306;53;G;
4808;5307;53;G;
4809;5308;53;G;
4810;5310;53;G;
4811;5309;53;G;
4900;4900_nuevo;60;I;
4901;6001;60;I;
4902;6002;60;I;
4903;6004;60;I;
4904;6003;60;I;
4905;6009;60;I;
4909;6009;60;I;
5000;6100;61;I;
5100;6200;62;I;
5201;6301;63;I;
5202;6302;63;I;
5300;6401;64;I;
5500;5501;55;H;
5600;5600_nuevo;55;H;
5601;5503;55;H;
5602;5502;55;H;
5800;2200;22;D;
5900;9201;92;O;También corresponde a 2200 (mayoritariamente a 9201)
6000;9201;92;O;
6100;6402;64;I;
6200;7201;72;K;
6300;9202;92;O;
6400;6500;65;J;
6500;6600;66;J;
6600;6600_nuevo;67;J;
6800;7000;70;K;
6900;7401;74;K;
7000;7401;74;K;
7100;7402;74;K;
7200;7300;73;K;
7301;7403;74;K;
7302;7401;74;K;
7400;7409;74;K;
7401;7401_nuevo;74;K;
7500;8502;85;N;
7701;7103;71;K;
7702;NA;71;K;
7800;7404;74;K;
7900;6303;63;I;
8000;7405;74;K;
8101;7406;74;K;
8102;104;1;A;
8200;8200_nuevo;74;K;
8300;7501;75;L;
8400;8400_nuevo;75;L;
8401;7501;75;L;
8402;7502;75;L;
8403;7503;75;L;
8405;8405_nuevo;75;L;
8407;8407_nuevo;75;L;
8409;8409_nuevo;75;L;
8410;8410_nuevo;75;L;
8500;8500_nuevo;75;L;
8501;8001;80;M;
8503;8503_nuevo;NA;M;
8509;8009;80;M;
8600;8501;85;N;
8601;8601_nuevo;85;N;
8700;8503;85;N;
8800;8503;85;N;
9000;9201;92;O;
9100;9203;92;O;
9109;9109_nuevo;92;O;
9200;9204;92;O;
9300;9300_nuevo;92;O;
9301;9204;92;O;
9302;9204;92;O;
9400;9400_nuevo;91;O;
9401;9102;91;O;
9402;9101;91;O;
9403;9403_nuevo;91;O;
9404;9404_nuevo;91;O;
9409;9109;91;O;
9500;9500_nuevo;NA;Z;
9501;7202;72;K;
9502;3200;32;D;
9503;5311;53;G;
9600;9600_nuevo;93;Z;
9601;9301;93;O;
9602;9302;93;O;
9603;9303;93;O;
9609;9309;93;O;
9700;9500;95;P;
9900;9900;99;Q;
9999;9999;99;Z;
C;C_nuevo;NA;Z;
NA;NA;NA;NA;
